SessionTime,Lap,LapDist,LapDistPct,Speed,Yaw,YawNorth,VelocityX,VelocityY,VelocityZ,YawRate,SteeringWheelAngle,LatAccel,IsOnTrack
972.916666157,1.000000000,4205.550292969,0.655734301,52.141494751,0.928527176,0.091941535,52.139522552,0.453289539,-0.299039572,-0.447941512,-9.424778938,-25.132413864,1.000000000
972.933332824,1.000000000,4206.414062500,0.655868948,52.048542023,0.921578407,0.098890305,52.046875000,0.416676849,-0.297855854,-0.405996382,-4.016369820,-24.692502975,1.000000000
972.949999491,1.000000000,4207.275878906,0.656003356,51.967311859,0.913914621,0.106554091,51.965686798,0.411083877,-0.307900578,-0.445566624,0.000000358,-20.044979095,1.000000000
972.966666157,1.000000000,4208.135742188,0.656137407,51.865421295,0.908844352,0.111624360,51.863044739,0.496426582,-0.304921180,-0.227458060,0.000000000,-11.002079964,1.000000000
972.983332824,1.000000000,4208.994140625,0.656271279,51.804443359,0.906094611,0.114374101,51.802017212,0.501121402,-0.297824174,-0.105050042,0.000000000,-6.582976818,1.000000000
972.999999491,1.000000000,4209.851074219,0.656404853,51.734867096,0.905140817,0.115327895,51.732723236,0.470964879,-0.277190864,-0.020012757,0.000000000,-4.715124130,1.000000000
973.016666157,1.000000000,4210.706542969,0.656538248,51.695461273,0.905220032,0.115248680,51.694255829,0.353094786,-0.297960669,0.023056896,0.000000000,-7.989519119,1.000000000
973.033332824,1.000000000,4211.561035156,0.656671524,51.644668579,0.905735791,0.114732921,51.644359589,0.178464964,-0.318170190,0.032664023,0.000000000,-8.335242271,1.000000000
973.049999491,1.000000000,4212.414550781,0.656804562,51.600265503,0.906157672,0.114311039,51.600242615,0.048655853,-0.311936826,0.015514588,0.000000000,-4.519478321,1.000000000
973.066666157,1.000000000,4213.266601562,0.656937420,51.542163849,0.907075167,0.113393545,51.542076111,-0.093834803,-0.310134798,-0.039151993,-3.941991329,-11.859241486,1.000000000
973.083332824,1.000000000,4214.117187500,0.657070041,51.451782227,0.903121471,0.117347240,51.451637268,-0.122101635,-0.305274546,-0.385233939,-9.424778938,-13.497891426,1.000000000
973.099999491,1.000000000,4214.965820312,0.657202363,51.361785889,0.895652413,0.124816298,51.361763000,-0.046022128,-0.291335374,-0.489309400,-9.424778938,-20.986257553,1.000000000
973.116666157,1.000000000,4215.812988281,0.657334447,51.287929535,0.887690842,0.132777870,51.287925720,0.011702227,-0.346579313,-0.448509485,-9.424778938,-19.570398331,1.000000000
973.133332824,1.000000000,4216.658691406,0.657466352,51.216728210,0.880513668,0.139955044,51.216697693,0.056851093,-0.369409055,-0.427520037,-9.424778938,-19.019218445,1.000000000
973.149999491,1.000000000,4217.502929688,0.657597959,51.133449554,0.873240232,0.147228479,51.133335114,0.108059511,-0.341847956,-0.455121785,-9.424778938,-19.435529709,1.000000000
973.166666157,1.000000000,4218.345703125,0.657729387,51.037250519,0.865252137,0.155216575,51.036918640,0.183853492,-0.324344873,-0.504844308,-9.424778938,-20.555477142,1.000000000
973.183332824,1.000000000,4219.186523438,0.657860458,50.936702728,0.856554687,0.163914025,50.935989380,0.269260705,-0.320714623,-0.532766700,-9.424778938,-21.917644501,1.000000000
973.199999491,1.000000000,4220.025878906,0.657991350,50.840366364,0.847686052,0.172782660,50.839282990,0.331655771,-0.335527003,-0.539660752,-4.090744972,-25.485660553,1.000000000
973.216666157,1.000000000,4220.863281250,0.658121884,50.757171631,0.837514281,0.182954431,50.755668640,0.390336752,-0.363038927,-0.602567434,0.000000000,-22.926538467,1.000000000
